article_id,garment_types,brand,Fabric,Pattern,Collar,Fastening,Neckline,Shape,Length,Fit,Color,sample
P6921C0FY-K11,denim_dress,Pinko,Denim,Plain,Missing,Zip,Backless,Fitted,Calf-length,Regular Fit,Blue,train
P1421C0SX-Q11,shirt_dress,Patrizia Pepe,Chiffon,Plain,Turn-down collar,Button,Backless,Fitted,Calf-length,Regular Fit,Black,train
GU121C1JT-Q11,jersey_dress,Guess,Jersey,Missing,Standing collar,Missing,Crew neck,Flared,Extra short,Regular Fit,Black,train
WG021C03X-G13,evening_dress,WAL G.,Jersey,Plain,Ruffle collar,Zip,Low-cut v-neck,Fitted,Short,Slim Fit,Red,val
VM321C10Y-A11,casual_dress,Vera Mont,Missing,Print,Standing collar,Missing,V-neck,Flared,Knee-length,Regular Fit,Green,train
NX321C485-O11,casual_dress,Next,Satin,Plain,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Brown,train
FAB21C0A0-K11,evening_dress,faina,Velvet,Marl,Standing collar,Zip,Backless,Fitted,Short,Slim Fit,Blue,val
BB121C0XV-B11,evening_dress,BOSS,Satin,Plain,Standing collar,Missing,Low-cut v-neck,Flared,Long,Regular Fit,Beige,val
SA321C0IN-Q11,jersey_dress,Samsøe Samsøe,Rib,Plain,Standing collar,Missing,Crew neck,Body-hugging,Knee-length,Skinny Fit,Black,val
OND21C01I-M11,jersey_dress,ONLY Tall,Jersey,Plain,Missing,Drawstring fastening,Crew neck,Fitted,Short,Regular Fit,Green,val
V1L21C00Y-Q11,casual_dress,19V69 Italia,Chiffon,Floral,Standing collar,Laces,Missing,Flared,Calf-length,Regular Fit,Brown,train
MQ921C0GH-N11,maxi_dress,MAX&Co.,Satin,Animal print,Standing collar,Missing,Backless,Fitted,Long,Slim Fit,Green,train
F2021C00I-Q11,casual_dress,Fresh Made,Missing,Striped,Standing collar,Missing,V-neck,Flared,Calf-length,Regular Fit,Silver,train
BY121C0CG-Q11,maxi_dress,By Malene Birger,Knit,Plain,Standing collar,Zip,Crew neck,Straight,Long,Regular Fit,Black,train
FOD21C0MO-Q11,evening_dress,Forever New,Mesh,Plain,Standing collar,Missing,Boat neck,Body-hugging,Extra short,Skinny Fit,Black,train
M9121C6PQ-Q11,work_dress,Mango,Velvet,Animal print,Standing collar,Button,Crew neck,Fitted,Short,Slim Fit,Purple,val
SG721C0AH-K11,evening_dress,Swing,Lace,Plain,Standing collar,Zip,Crew neck,Missing,Knee-length,Slim Fit,Blue,train
ES121C2F8-Q11,knitted_dress,Esprit,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,Black,val
AN621C21T-O11,knitted_dress,Anna Field,Rib,Marl,Polo neck,Missing,Crew neck,Fitted,Short,Slim Fit,Brown,train
QM421C0JM-Q11,jersey_dress,Marks & Spencer,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Calf-length,Regular Fit,Black,train
MAL21C0F2-Q11,casual_dress,maje,Satin,Plain,Missing,Missing,Backless,Fitted,Calf-length,Regular Fit,Black,train
WG021C191-Q11,occasion_dress,WAL G.,Jersey,Plain,Missing,Missing,Backless,Fitted,Long,Slim Fit,Black,train
SU221C0XG-G11,jersey_dress,Superdry,Jersey,Plain,Missing,Missing,Backless,Flared,Calf-length,Slim Fit,Red,train
ON321C2SI-K12,denim_dress,ONLY,Denim,Missing,Turn-down collar,Zip,Missing,Fitted,Short,Regular Fit,Blue,val
SU221C0WN-B11,knitted_dress,Superdry,Knit,Plain,Polo neck,Missing,Crew neck,Straight,Short,Loose Fit,Beige,train
WG021C0UI-A11,jersey_dress,WAL G.,Jersey,Plain,Missing,Zip,Low-cut v-neck,Fitted,Long,Slim Fit,White,train
VM321C12E-I11,casual_dress,Vera Mont,Chiffon,Plain,Standing collar,Missing,Low-cut v-neck,Fitted,Knee-length,Regular Fit,Purple,val
S3821C08T-Q11,knitted_dress,2nd Day,Knit,Plain,Standing collar,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Black,train
MAL21C0L6-K11,casual_dress,maje,Jersey,Print,Turn-down collar,Missing,Cache-coeur,Fitted,Calf-length,Regular Fit,Blue,train
HOW21C014-Q12,shift_dress,HotSquash,Jersey,Floral,Missing,Zip,Low-cut v-neck,Missing,Knee-length,Slim Fit,Black,val
VM021C0JW-B11,knitted_dress,Vero Moda Petite,Knit,Print,Standing collar,Missing,Crew neck,Straight,Knee-length,Regular Fit,Beige,val
UP121C0QI-K12,jersey_dress,Ulla Popken,Jersey,Plain,Missing,Missing,Boat neck,Straight,Calf-length,Regular Fit,Blue,train
M9121C6UM-Q11,casual_dress,Mango,Satin,Plain,Missing,Belt,Cache-coeur,Fitted,Calf-length,Regular Fit,Black,train
KA321C131-Q11,knitted_dress,Kaffe,Jersey,Striped,Missing,Missing,Crew neck,Straight,Long,Regular Fit,Grey,train
BYC21C05X-J11,occasion_dress,By Malina,Lace,Plain,Standing collar,Zip,Missing,Fitted,Long,Slim Fit,Pink,train
M3I21C117-C11,maxi_dress,Massimo Dutti,Missing,Marl,Standing collar,Zip,Crew neck,Straight,Long,Regular Fit,Grey,train
LQA21C04I-G11,casual_dress,Laurella,Chiffon,Floral,Missing,Laces,Missing,Fitted,Calf-length,Slim Fit,Pink,train
HEN21C048-B11,knitted_dress,Henrik Vibskov,Knit,Striped,Polo neck,Missing,Missing,Fitted,Knee-length,Regular Fit,Beige,val
M5921C1AJ-A11,knitted_dress,Morgan,Knit,Missing,Turn-down collar,Button,Missing,Fitted,Short,Regular Fit,Brown,val
AD121C0CV-Q11,maxi_dress,adidas Originals,Jersey,Striped,Missing,Missing,V-neck,Fitted,Long,Slim Fit,Black,val
NX321C3YL-K11,maxi_dress,Next,Mesh,Print,Standing collar,Button,Missing,Fitted,Long,Slim Fit,Blue,train
ONA21C0U9-B11,casual_dress,ONLY Carmakoma,Jersey,Animal print,Missing,Missing,Scoop neck,Fitted,Calf-length,Regular Fit,Brown,train
MI421C0EO-M11,occasion_dress,Minimum,Satin,Plain,Standing collar,Laces,Cache-coeur,Fitted,Long,Regular Fit,Green,train
CKG21C03Z-K12,jersey_dress,Cellbes of Sweden,Jersey,Print,Missing,Missing,Crew neck,Flared,Knee-length,Regular Fit,Grey,train
4AP21C28X-K11,maxi_dress,Apart,Missing,Plain,Standing collar,Zip,Low-cut v-neck,Flared,Long,Regular Fit,Purple,train
ON321C3FB-N11,maxi_dress,ONLY,Jersey,Plain,Standing collar,Zip,Crew neck,Flared,Long,Regular Fit,Green,train
2BE21C0LD-K11,jersey_dress,Betty Barclay,Jersey,Striped,Missing,Missing,Crew neck,Straight,Knee-length,Regular Fit,Beige,train
VEB21C04M-A15,casual_dress,Vero Moda Tall,Missing,Print,Standing collar,Missing,Low-cut v-neck,Fitted,Long,Regular Fit,Silver,train
DD121C012-M11,casual_dress,Dine 'n' Dance,Chiffon,Paisley,Standing collar,Button,Backless,Flared,Knee-length,Regular Fit,Green,train
M3I21C0YB-Q11,casual_dress,Massimo Dutti,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Calf-length,Regular Fit,Black,train
SC321C0CU-Q11,knitted_dress,Scotch & Soda,Knit,Plain,Polo neck,Zip,Missing,Fitted,Short,Slim Fit,Brown,val
IP521C0EK-Q11,casual_dress,Ipekyol,Jersey,Plain,Missing,Missing,Crew neck,Straight,Knee-length,Regular Fit,Black,train
MAL21C0JT-Q11,knitted_dress,maje,Rib,Striped,Turn-down collar,Missing,Missing,Fitted,Extra short,Slim Fit,Beige,train
OP521C08Q-K11,casual_dress,Marc O'Polo DENIM,Chiffon,Floral,Missing,Missing,Square neck,Fitted,Short,Regular Fit,Blue,train
APH21C0DL-K11,maxi_dress,Apricot,Chiffon,Plain,Standing collar,Zip,Crew neck,Flared,Long,Regular Fit,Blue,val
BJR21C00I-Q11,occasion_dress,Barrus London,Missing,Plain,Standing collar,Missing,Cache-coeur,Fitted,Long,Regular Fit,Black,train
ON321C1YF-M13,casual_dress,ONLY,Missing,Floral,Standing collar,Button,Henley,Fitted,Short,Regular Fit,Grey,train
KA321C145-Q11,casual_dress,Kaffe,Chiffon,Print,Missing,Drawstring fastening,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Beige,train
BEU21C07Q-T11,evening_dress,Bec + Bridge,Jersey,Floral,Standing collar,Missing,Missing,Fitted,Calf-length,Slim Fit,Beige,val
AW721C06Y-N11,shift_dress,Awesome Apparel,Knit,Plain,Lapel collar,Button,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Brown,train
ONA21C0SS-M11,jersey_dress,ONLY Carmakoma,Jersey,Plain,Standing collar,Missing,V-neck,Straight,Knee-length,Regular Fit,Purple,train
P6921C0N8-M11,casual_dress,Pinko,Chiffon,Polka dot,Missing,Missing,Missing,Flared,Extra short,Regular Fit,Green,val
WG021C19D-Q11,jersey_dress,WAL G.,Jersey,Plain,Missing,Zip,Backless,Body-hugging,Knee-length,Skinny Fit,Black,train
AN121C1NO-T11,maxi_dress,Ana Alcazar,Chiffon,Print,Standing collar,Laces,Backless,Straight,Long,Regular Fit,Orange,train
WG021C1FD-M11,occasion_dress,WAL G.,Jersey,Plain,Missing,Zip,Low-cut v-neck,Fitted,Long,Slim Fit,Green,train
KRG21C04D-K12,evening_dress,Kraimod,Missing,Missing,Standing collar,Zip,Backless,Body-hugging,Short,Skinny Fit,Black,train
MMA21C04E-C11,casual_dress,MM6 Maison Margiela,Chiffon,Plain,Hood,Button,Missing,Fitted,Short,Loose Fit,Grey,train
UR621C02Z-K11,knitted_dress,Urban Classics,Rib,Plain,Standing collar,Laces,Backless,Body-hugging,Short,Skinny Fit,Blue,train
KS821C0BA-B11,casual_dress,Karen by Simonsen,Missing,Plain,Standing collar,Missing,Low-cut v-neck,Flared,Knee-length,Loose Fit,Beige,train
M0921C0DO-K11,occasion_dress,Mascara,Chiffon,Plain,Missing,Zip,Crew neck,Fitted,Long,Loose Fit,Blue,train
M7521C08F-Q11,evening_dress,Marella,Velvet,Plain,Standing collar,Zip,Crew neck,Fitted,Extra short,Slim Fit,Silver,train
A1721C04A-K12,jersey_dress,alife & kickin,Jersey,Print,Missing,Missing,Crew neck,Fitted,Extra short,Slim Fit,Grey,train
KRG21C056-A11,shift_dress,Kraimod,Jersey,Plain,Standing collar,Zip,Low-cut v-neck,Fitted,Calf-length,Skinny Fit,Beige,train
BB121C0YE-A11,shift_dress,BOSS,Missing,Plain,Lapel collar,Button,Missing,Fitted,Knee-length,Regular Fit,Beige,val
PS721C04L-K11,knitted_dress,PS Paul Smith,Rib,Colourful,Standing collar,Missing,Missing,Body-hugging,Knee-length,Skinny Fit,Black,train
MK121C0Q2-K11,evening_dress,MICHAEL Michael Kors,Satin,Plain,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Blue,train
BB121C105-T11,casual_dress,BOSS,Chiffon,Print,Standing collar,Button,Missing,Fitted,Calf-length,Regular Fit,Green,val
M5921C15F-K11,denim_dress,Morgan,Denim,Missing,Turn-down collar,Zip,Missing,Body-hugging,Short,Skinny Fit,Blue,train
H0721C02S-B11,knitted_dress,hessnatur,Knit,Plain,Standing collar,Missing,Crew neck,Flared,Calf-length,Slim Fit,Beige,train
ONR29F024-M11,casual_dress,ONLY MATERNITY,Mesh,Plain,Standing collar,Missing,Crew neck,Straight,Calf-length,Slim Fit,Green,train
PE321C1QR-Q11,jersey_dress,Pieces,Jersey,Marl,Standing collar,Missing,Cache-coeur,Fitted,Knee-length,Slim Fit,Silver,train
DK121C0WO-M11,evening_dress,DKNY,Velvet,Plain,Standing collar,Zip,Crew neck,Fitted,Short,Regular Fit,Green,val
NX321C41V-T11,casual_dress,Next,Chiffon,Animal print,Missing,Laces,Low-cut v-neck,Fitted,Knee-length,Regular Fit,Brown,train
PE321C1NL-G11,jersey_dress,Pieces,Jersey,Plain,Standing collar,Missing,Crew neck,Fitted,Short,Regular Fit,Brown,train
KA321C0JI-T11,maxi_dress,Kaffe,Missing,Print,Turn-down collar,Button,Low-cut v-neck,Flared,Long,Regular Fit,Brown,val
GE221C0I1-O11,evening_dress,Gestuz,Satin,Plain,Standing collar,Zip,Crew neck,Fitted,Calf-length,Slim Fit,Beige,train
KLL21C00U-K11,evening_dress,KLEO,Chiffon,Print,Missing,Zip,V-neck,Flared,Short,Regular Fit,Blue,train
BL821C018-J11,casual_dress,Blue Seven,Missing,Striped,Missing,Missing,Crew neck,Flared,Knee-length,Regular Fit,Pink,val
P2121C0E7-Q11,casual_dress,Part Two,Knit,Plain,Missing,Missing,Low-cut v-neck,Straight,Knee-length,Loose Fit,Brown,val
YA521C07L-J11,maxi_dress,YAS Petite,Missing,Floral,Missing,Missing,Backless,Fitted,Long,Regular Fit,Beige,train
SG721C0Y7-I11,occasion_dress,Swing,Tulle,Missing,Missing,Laces,Backless,Flared,Long,Regular Fit,Purple,train
I0621C03A-Q11,casual_dress,INFLUENCER,Missing,Plain,Ruffle collar,Missing,Missing,Fitted,Short,Regular Fit,Black,train
PE121C0WM-K11,casual_dress,Pepe Jeans,Chiffon,Print,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Blue,train
LUQ21C06Z-M11,casual_dress,Luisa Spagnoli,Chiffon,Floral,Missing,Laces,Crew neck,Fitted,Knee-length,Regular Fit,Green,val
IC221C0LV-K11,casual_dress,ICHI,Jersey,Floral,Standing collar,Button,Missing,Straight,Calf-length,Regular Fit,Blue,train
HK021C01V-Q11,occasion_dress,Han Kjøbenhavn,Satin,Plain,Missing,Missing,Backless,Fitted,Long,Regular Fit,Black,val
L4221C1QW-K11,knitted_dress,Lauren Ralph Lauren,Rib,Plain,Missing,Belt,Crew neck,Fitted,Calf-length,Slim Fit,Blue,train
7F121C01A-K11,denim_dress,7 for all mankind,Denim,Missing,Turn-down collar,Button,Missing,Fitted,Short,Regular Fit,Blue,val
LA021C077-J12,occasion_dress,Laona,Chiffon,Plain,Standing collar,Zip,Crew neck,Missing,Long,Missing,Black,val
K3W21C00X-C11,denim_dress,Karl Lagerfeld Jeans,Denim,Missing,Turn-down collar,Button,Missing,Fitted,Short,Slim Fit,Brown,train
L4221C1A5-M12,shirt_dress,Lauren Ralph Lauren,Satin,Plain,Turn-down collar,Zip,Cache-coeur,Fitted,Calf-length,Regular Fit,Brown,val
SA321C0KI-K11,evening_dress,Samsøe Samsøe,Satin,Plain,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Black,val
TOB21C0E5-B11,casual_dress,Tommy Jeans,Jersey,Animal print,Missing,Missing,V-neck,Flared,Extra short,Slim Fit,Brown,train
BEU21C06O-T11,occasion_dress,Bec + Bridge,Chiffon,Floral,Standing collar,Laces,Cache-coeur,Fitted,Long,Regular Fit,Orange,train
NK021C01Y-D11,jersey_dress,Norma Kamali,Jersey,Plain,Missing,Missing,Missing,Fitted,Short,Skinny Fit,Silver,train
CO121C19W-Q11,casual_dress,comma,Missing,Print,Missing,Button,Low-cut v-neck,Flared,Calf-length,Regular Fit,Beige,train
AA321C06Y-M11,maxi_dress,Aaiko,Satin,Animal print,Missing,Missing,Cache-coeur,Fitted,Long,Loose Fit,Silver,train
MW721C0CR-K11,evening_dress,WEEKEND MaxMara,Jersey,Marl,Standing collar,Zip,Crew neck,Fitted,Calf-length,Regular Fit,Grey,train
M9121C6WK-Q11,casual_dress,Mango,Missing,Marl,Missing,Zip,Cache-coeur,Fitted,Calf-length,Regular Fit,Black,train
KRG21C02J-A11,maxi_dress,Kraimod,Chiffon,Plain,Missing,Zip,Low-cut v-neck,Fitted,Long,Regular Fit,White,val
OV721C003-Q11,evening_dress,OVERTHESEA,Chiffon,Plain,Standing collar,Laces,Missing,Fitted,Calf-length,Regular Fit,Black,val
V1021C3ZE-K11,casual_dress,VILA,Chiffon,Plain,Missing,Laces,Cache-coeur,Fitted,Calf-length,Regular Fit,Blue,val
KRG21C04N-J11,evening_dress,Kraimod,Mesh,Missing,Missing,Zip,Backless,Fitted,Extra short,Slim Fit,Gold,train
A2N21C06A-Q11,maxi_dress,Alice + Olivia,Other,Other,Standing collar,Laces,Missing,Fitted,Calf-length,Missing,Silver,val
4AP21C27Z-A11,maxi_dress,Apart,Chiffon,Plain,Standing collar,Zip,Crew neck,Straight,Long,Regular Fit,White,train
UP121C1GO-A11,jersey_dress,Ulla Popken,Jersey,Print,Standing collar,Missing,V-neck,Flared,Calf-length,Regular Fit,Blue,val
OV721C002-B11,occasion_dress,OVERTHESEA,Chiffon,Plain,Ruffle collar,Button,Backless,Fitted,Long,Regular Fit,Beige,train
M1X21C04F-K11,casual_dress,Max Mara Leisure,Missing,Plain,Missing,Missing,Backless,Straight,Short,Regular Fit,Blue,train
CE321C0CX-C11,knitted_dress,Cecil,Knit,Marl,Other,Missing,Missing,Straight,Short,Regular Fit,Grey,val
SOA21C0NN-H11,casual_dress,s.Oliver BLACK LABEL,Mesh,Print,Missing,Missing,Crew neck,Straight,Knee-length,Regular Fit,Pink,val
DK141L00F-A11,jersey_dress,DKNY,Jersey,Plain,Standing collar,Missing,Crew neck,Fitted,Extra short,Regular Fit,White,train
L4221C1T6-Q11,jersey_dress,Lauren Ralph Lauren,Jersey,Plain,Standing collar,Zip,Cowl neck,Straight,Knee-length,Skinny Fit,Black,val
SO281H008-T11,jersey_dress,s.Oliver,Jersey,Floral,Missing,Missing,Scoop neck,Missing,Short,Slim Fit,Beige,val
OB121C0HF-K15,knitted_dress,Object,Knit,Marl,Standing collar,Missing,Crew neck,Flared,Short,Regular Fit,Grey,train
TAS21C0G3-K11,casual_dress,TATUUM,Missing,Plain,Missing,Missing,Low-cut v-neck,Flared,Calf-length,Regular Fit,Black,train
0YA21C00P-T11,casual_dress,Yamamay,Satin,Floral,Missing,Laces,Backless,Straight,Calf-length,Regular Fit,Beige,train
IC221C0L7-H11,knitted_dress,ICHI,Jersey,Plain,Standing collar,Belt,Crew neck,Straight,Knee-length,Regular Fit,Orange,train
C1E21C07B-M11,jersey_dress,comma casual identity,Jersey,Plain,Hood,Missing,Crew neck,Straight,Short,Loose Fit,Green,val
